stn; yyyyMMddHHmm; rre150z0
HER;201001010020;0
HER;201001010030;0
HER;201001010040;0
HER;201001010050;0
HER;201001010100;0
HER;201001010110;0
HER;201001010120;0
HER;201001010130;0
HER;201001010140;0
HER;201001010150;0
HER;201001010200;0
HER;201001010210;0
HER;201001010220;0
HER;201001010230;0
HER;201001010240;0
HER;201001010250;0
HER;201001010300;0
HER;201001010310;0
HER;201001010320;0
HER;201001010330;0
HER;201001010340;0
HER;201001010350;0
HER;201001010400;0
HER;201001010410;0
HER;201001010420;0
HER;201001010430;0
HER;201001010440;0
HER;201001010450;0
HER;201001010500;0
HER;201001010510;0
HER;201001010520;0
HER;201001010530;0
HER;201001010540;0
HER;201001010550;0
HER;201001010600;0
HER;201001010610;0
HER;201001010620;0
HER;201001010630;0
HER;201001010640;0
HER;201001010650;0
HER;201001010700;0
HER;201001010710;0
HER;201001010720;0
HER;201001010730;0
HER;201001010740;0
HER;201001010750;0
HER;201001010800;0
HER;201001010810;0
HER;201001010820;0
HER;201001010830;0
HER;201001010840;0
HER;201001010850;0
HER;201001010900;0
HER;201001010910;0
HER;201001010920;0
HER;201001010930;0
HER;201001010940;0
HER;201001010950;0
HER;201001011000;0
HER;201001011010;0
HER;201001011020;0
HER;201001011030;0
HER;201001011040;0
HER;201001011050;0
HER;201001011100;0
HER;201001011110;0
HER;201001011120;0
HER;201001011130;0
HER;201001011140;0
HER;201001011150;0
HER;201001011200;0
HER;201001011210;0
HER;201001011220;0
HER;201001011230;0
HER;201001011240;0
HER;201001011250;0
HER;201001011300;0
HER;201001011310;0
HER;201001011320;0
HER;201001011330;0
HER;201001011340;0
HER;201001011350;0
HER;201001011400;0
HER;201001011410;0
HER;201001011420;0
HER;201001011430;0
HER;201001011440;0
HER;201001011450;0
HER;201001011500;0
HER;201001011510;0
HER;201001011520;0
HER;201001011530;0
HER;201001011540;0
HER;201001011550;0
HER;201001011600;0
HER;201001011610;0
HER;201001011620;0
HER;201001011630;0
HER;201001011640;0
HER;201001011650;0
HER;201001011700;0
HER;201001011710;0
HER;201001011720;0
HER;201001011730;0
HER;201001011740;0
HER;201001011750;0
HER;201001011800;0
HER;201001011810;0
HER;201001011820;0
HER;201001011830;0
HER;201001011840;0
HER;201001011850;0
HER;201001011900;0
HER;201001011910;0
HER;201001011920;0
HER;201001011930;0
HER;201001011940;0
HER;201001011950;0
HER;201001012000;0
HER;201001012010;0
HER;201001012020;0
HER;201001012030;0
HER;201001012040;0
HER;201001012050;0
HER;201001012100;0
HER;201001012110;0
HER;201001012120;0
HER;201001012130;0
HER;201001012140;0
HER;201001012150;0
HER;201001012200;0
HER;201001012210;0
HER;201001012220;0
HER;201001012230;0
HER;201001012240;0
HER;201001012250;0
HER;201001012300;0
HER;201001012310;0
HER;201001012320;0
HER;201001012330;0
HER;201001012340;0
HER;201001012350;0
HER;201001020000;0
HER;201001020010;0
HER;201001020020;0
HER;201001020030;0
HER;201001020040;0
HER;201001020050;0
HER;201001020100;0
HER;201001020110;0
HER;201001020120;0
HER;201001020130;0
HER;201001020140;0
HER;201001020150;0
HER;201001020200;0
HER;201001020210;0
HER;201001020220;0
HER;201001020230;0
HER;201001020240;0
HER;201001020250;0
HER;201001020300;0
HER;201001020310;0
HER;201001020320;0
HER;201001020330;0
HER;201001020340;0
HER;201001020350;0
HER;201001020400;0
HER;201001020410;0
HER;201001020420;0
HER;201001020430;0
HER;201001020440;0
HER;201001020450;0
HER;201001020500;0
HER;201001020510;0
HER;201001020520;0
HER;201001020530;0
HER;201001020540;0
HER;201001020550;0
HER;201001020600;0
HER;201001020610;0
HER;201001020620;0
HER;201001020630;0
HER;201001020640;0
HER;201001020650;0
HER;201001020700;0
HER;201001020710;0
HER;201001020720;0
HER;201001020730;0
HER;201001020740;0
HER;201001020750;0
HER;201001020800;0
HER;201001020810;0
HER;201001020820;0
HER;201001020830;0
HER;201001020840;0
HER;201001020850;0
HER;201001020900;0
HER;201001020910;0
HER;201001020920;0
HER;201001020930;0
HER;201001020940;0
HER;201001020950;0
HER;201001021000;0
HER;201001021010;0
HER;201001021020;0
HER;201001021030;0
HER;201001021040;0
HER;201001021050;0
HER;201001021100;0
HER;201001021110;0
HER;201001021120;0
HER;201001021130;0
HER;201001021140;0
HER;201001021150;0
HER;201001021200;0
HER;201001021210;0
HER;201001021220;0
HER;201001021230;0
HER;201001021240;0
HER;201001021250;0
HER;201001021300;0
HER;201001021310;0
HER;201001021320;0
HER;201001021330;0
HER;201001021340;0
HER;201001021350;0
HER;201001021400;0
HER;201001021410;0
HER;201001021420;0
HER;201001021430;0
HER;201001021440;0
HER;201001021450;0
HER;201001021500;0
HER;201001021510;0
HER;201001021520;0
HER;201001021530;0
HER;201001021540;0
HER;201001021550;0
HER;201001021600;0
HER;201001021610;0
HER;201001021620;0
HER;201001021630;0
HER;201001021640;0
HER;201001021650;0
HER;201001021700;0
HER;201001021710;0
HER;201001021720;0
HER;201001021730;0
HER;201001021740;0
HER;201001021750;0
HER;201001021800;0
HER;201001021810;0
HER;201001021820;0
HER;201001021830;0
HER;201001021840;0
HER;201001021850;0
HER;201001021900;0
HER;201001021910;0
HER;201001021920;0
HER;201001021930;0
HER;201001021940;0
HER;201001021950;0
HER;201001022000;0
HER;201001022010;0
HER;201001022020;0
HER;201001022030;0
HER;201001022040;0
HER;201001022050;0
HER;201001022100;0
HER;201001022110;0
HER;201001022120;0
HER;201001022130;0
HER;201001022140;0
HER;201001022150;0
HER;201001022200;0
HER;201001022210;0
HER;201001022220;0
HER;201001022230;0
HER;201001022240;0
HER;201001022250;0
HER;201001022300;0
HER;201001022310;0
HER;201001022320;0
HER;201001022330;0
HER;201001022340;0
HER;201001022350;0
HER;201001030000;0
HER;201001030010;0
HER;201001030020;0
HER;201001030030;0
HER;201001030040;0
HER;201001030050;0
HER;201001030100;0
HER;201001030110;0
HER;201001030120;0
HER;201001030130;0
HER;201001030140;0
HER;201001030150;0
HER;201001030200;0
HER;201001030210;0
HER;201001030220;0
HER;201001030230;0
HER;201001030240;0
HER;201001030250;0
HER;201001030300;0
HER;201001030310;0
HER;201001030320;0
HER;201001030330;0
HER;201001030340;0
HER;201001030350;0
HER;201001030400;0
HER;201001030410;0
HER;201001030420;0
HER;201001030430;0
HER;201001030440;0
HER;201001030450;0
HER;201001030500;0
HER;201001030510;0
HER;201001030520;0
HER;201001030530;0
HER;201001030540;0
HER;201001030550;0
HER;201001030600;0
HER;201001030610;0
HER;201001030620;0
HER;201001030630;0
HER;201001030640;0
HER;201001030650;0
HER;201001030700;0
HER;201001030710;0
HER;201001030720;0
HER;201001030730;0
HER;201001030740;0
HER;201001030750;0
HER;201001030800;0
HER;201001030810;0
HER;201001030820;0
HER;201001030830;0
HER;201001030840;0
HER;201001030850;0
HER;201001030900;0
HER;201001030910;0
HER;201001030920;0
HER;201001030930;0
HER;201001030940;0
HER;201001030950;0
HER;201001031000;0
HER;201001031010;0
HER;201001031020;0
HER;201001031030;0
HER;201001031040;0
HER;201001031050;0
HER;201001031100;0
HER;201001031110;0
HER;201001031120;0
HER;201001031130;0
HER;201001031140;0
HER;201001031150;0
HER;201001031200;0
HER;201001031210;0
HER;201001031220;0
HER;201001031230;0
HER;201001031240;0
HER;201001031250;0
HER;201001031300;0
HER;201001031310;0
HER;201001031320;0
HER;201001031330;0
HER;201001031340;0
HER;201001031350;0
HER;201001031400;0
HER;201001031410;0
HER;201001031420;0
HER;201001031430;0
HER;201001031440;0
HER;201001031450;0
HER;201001031500;0
HER;201001031510;0
HER;201001031520;0
HER;201001031530;0
HER;201001031540;0
HER;201001031550;0
HER;201001031600;0
HER;201001031610;0
HER;201001031620;0
HER;201001031630;0
HER;201001031640;0
HER;201001031650;0
HER;201001031700;0
HER;201001031710;0
HER;201001031720;0
HER;201001031730;0
HER;201001031740;0
HER;201001031750;0
HER;201001031800;0
HER;201001031810;0
HER;201001031820;0
HER;201001031830;0
HER;201001031840;0
HER;201001031850;0
HER;201001031900;0
HER;201001031910;0
HER;201001031920;0
HER;201001031930;0
HER;201001031940;0
HER;201001031950;0
HER;201001032000;0
HER;201001032010;0
HER;201001032020;0
HER;201001032030;0
HER;201001032040;0
HER;201001032050;0
HER;201001032100;0
HER;201001032110;0
HER;201001032120;0
HER;201001032130;0
HER;201001032140;0
HER;201001032150;0
HER;201001032200;0
HER;201001032210;0
HER;201001032220;0
HER;201001032230;0
HER;201001032240;0
HER;201001032250;0
HER;201001032300;0
HER;201001032310;0
HER;201001032320;0
HER;201001032330;0
HER;201001032340;0
HER;201001032350;0
HER;201001040000;0
HER;201001040010;0
HER;201001040020;0
HER;201001040030;0
HER;201001040040;0
HER;201001040050;0
HER;201001040100;0
HER;201001040110;0
HER;201001040120;0
HER;201001040130;0
HER;201001040140;0
HER;201001040150;0
HER;201001040200;0
HER;201001040210;0
HER;201001040220;0
HER;201001040230;0
HER;201001040240;0
HER;201001040250;0
HER;201001040300;0
HER;201001040310;0
HER;201001040320;0
HER;201001040330;0
HER;201001040340;0
HER;201001040350;0
HER;201001040400;0
HER;201001040410;0
HER;201001040420;0
HER;201001040430;0
HER;201001040440;0
HER;201001040450;0
HER;201001040500;0
HER;201001040510;0
HER;201001040520;0
HER;201001040530;0
HER;201001040540;0
HER;201001040550;0
HER;201001040600;0
HER;201001040610;0
HER;201001040620;0
HER;201001040630;0
HER;201001040640;0
HER;201001040650;0
HER;201001040700;0
HER;201001040710;0
HER;201001040720;0
HER;201001040730;0
HER;201001040740;0
HER;201001040750;0
HER;201001040800;0
HER;201001040810;0
HER;201001040820;0
HER;201001040830;0
HER;201001040840;0
HER;201001040850;0
HER;201001040900;0
HER;201001040910;0
HER;201001040920;0
HER;201001040930;0
HER;201001040940;0
HER;201001040950;0
HER;201001041000;0
HER;201001041010;0
HER;201001041020;0
HER;201001041030;0
HER;201001041040;0
HER;201001041050;0
HER;201001041100;0
HER;201001041110;0
HER;201001041120;0
HER;201001041130;0
HER;201001041140;0
HER;201001041150;0
HER;201001041200;0
HER;201001041210;0
HER;201001041220;0
HER;201001041230;0
HER;201001041240;0
HER;201001041250;0
HER;201001041300;0
HER;201001041310;0
HER;201001041320;0
HER;201001041330;0
HER;201001041340;0
HER;201001041350;0
HER;201001041400;0
HER;201001041410;0
HER;201001041420;0
HER;201001041430;0
HER;201001041440;0
HER;201001041450;0
HER;201001041500;0
HER;201001041510;0
HER;201001041520;0
HER;201001041530;0
HER;201001041540;0
HER;201001041550;0
HER;201001041600;0
HER;201001041610;0
HER;201001041620;0
HER;201001041630;0
HER;201001041640;0
HER;201001041650;0
HER;201001041700;0
HER;201001041710;0
HER;201001041720;0
HER;201001041730;0
HER;201001041740;0
HER;201001041750;0
HER;201001041800;0
HER;201001041810;0
HER;201001041820;0
HER;201001041830;0
HER;201001041840;0
HER;201001041850;0
HER;201001041900;0
HER;201001041910;0
HER;201001041920;0
HER;201001041930;0
HER;201001041940;0
HER;201001041950;0
HER;201001042000;0
HER;201001042010;0
HER;201001042020;0
HER;201001042030;0
HER;201001042040;0
HER;201001042050;0
HER;201001042100;0
HER;201001042110;0
HER;201001042120;0
HER;201001042130;0
HER;201001042140;0
HER;201001042150;0
HER;201001042200;0
HER;201001042210;0
HER;201001042220;0
HER;201001042230;0
HER;201001042240;0
HER;201001042250;0
HER;201001042300;0
HER;201001042310;0
HER;201001042320;0
HER;201001042330;0
HER;201001042340;0
HER;201001042350;0
HER;201001050000;0
HER;201001050010;0
HER;201001050020;0
HER;201001050030;0
HER;201001050040;0
HER;201001050050;0
HER;201001050100;0
HER;201001050110;0
HER;201001050120;0
HER;201001050130;0
HER;201001050140;0
HER;201001050150;0
HER;201001050200;0
HER;201001050210;0
HER;201001050220;0
HER;201001050230;0
HER;201001050240;0
HER;201001050250;0
HER;201001050300;0
HER;201001050310;0
HER;201001050320;0
HER;201001050330;0
HER;201001050340;0
HER;201001050350;0
HER;201001050400;0
HER;201001050410;0
HER;201001050420;0
HER;201001050430;0
HER;201001050440;0
HER;201001050450;0
HER;201001050500;0
HER;201001050510;0
HER;201001050520;0
HER;201001050530;0
HER;201001050540;0
HER;201001050550;0
HER;201001050600;0
HER;201001050610;0
HER;201001050620;0
HER;201001050630;0
HER;201001050640;0
HER;201001050650;0
HER;201001050700;0
HER;201001050710;0
HER;201001050720;0
HER;201001050730;0
HER;201001050740;0
HER;201001050750;0
HER;201001050800;0
HER;201001050810;0
HER;201001050820;0
HER;201001050830;0
HER;201001050840;0
HER;201001050850;0
HER;201001050900;0
HER;201001050910;0
HER;201001050920;0
HER;201001050930;0
HER;201001050940;0
HER;201001050950;0
HER;201001051000;0
HER;201001051010;0
HER;201001051020;0
HER;201001051030;0
HER;201001051040;0
HER;201001051050;0
HER;201001051100;0
HER;201001051110;0
HER;201001051120;0
HER;201001051130;0
HER;201001051140;0
HER;201001051150;0
HER;201001051200;0
HER;201001051210;0
HER;201001051220;0
HER;201001051230;0
HER;201001051240;0
HER;201001051250;0
HER;201001051300;0
HER;201001051310;0
HER;201001051320;0
HER;201001051330;0
HER;201001051340;0
HER;201001051350;0
HER;201001051400;0
HER;201001051410;0
HER;201001051420;0
HER;201001051430;0
HER;201001051440;0
HER;201001051450;0
HER;201001051500;0
HER;201001051510;0
HER;201001051520;0
HER;201001051530;0
HER;201001051540;0
HER;201001051550;0
HER;201001051600;0
HER;201001051610;0
HER;201001051620;0
HER;201001051630;0
HER;201001051640;0
HER;201001051650;0
HER;201001051700;0
HER;201001051710;0
HER;201001051720;0
HER;201001051730;0
HER;201001051740;0
HER;201001051750;0
HER;201001051800;0
HER;201001051810;0
HER;201001051820;0
HER;201001051830;0
HER;201001051840;0
HER;201001051850;0
HER;201001051900;0
HER;201001051910;0
HER;201001051920;0
HER;201001051930;0
HER;201001051940;0
HER;201001051950;0
HER;201001052000;0
HER;201001052010;0
HER;201001052020;0
HER;201001052030;0
HER;201001052040;0
HER;201001052050;0
HER;201001052100;0
HER;201001052110;0
HER;201001052120;0
HER;201001052130;0
HER;201001052140;0
HER;201001052150;0
HER;201001052200;0
HER;201001052210;0
HER;201001052220;0
HER;201001052230;0
HER;201001052240;0
HER;201001052250;0
HER;201001052300;0
HER;201001052310;0
HER;201001052320;0
HER;201001052330;0
HER;201001052340;0
HER;201001052350;0
HER;201001060000;0
HER;201001060010;0
HER;201001060020;0
HER;201001060030;0
HER;201001060040;0
HER;201001060050;0
HER;201001060100;0
HER;201001060110;0
HER;201001060120;0
HER;201001060130;0
HER;201001060140;0
HER;201001060150;0
HER;201001060200;0
HER;201001060210;0
HER;201001060220;0
HER;201001060230;0
HER;201001060240;0
HER;201001060250;0
HER;201001060300;0
HER;201001060310;0
HER;201001060320;0
HER;201001060330;0
